customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
cust_00001,cust_00001,20001,rio de janeiro,SP
cust_00002,cust_00002,20002,rio de janeiro,MG
cust_00003,cust_00003,20003,rio de janeiro,SP
cust_00004,cust_00004,20004,rio de janeiro,MG
cust_00005,cust_00005,20005,rio de janeiro,RS
cust_00006,cust_00006,20006,rio de janeiro,RS
cust_00007,cust_00007,20007,rio de janeiro,MG
cust_00008,cust_00008,20008,rio de janeiro,RJ
cust_00009,cust_00009,20009,rio de janeiro,PR
cust_00010,cust_00010,20010,rio de janeiro,PR
cust_00011,cust_00011,20011,rio de janeiro,MG
cust_00012,cust_00012,20012,rio de janeiro,PR
cust_00013,cust_00013,20013,rio de janeiro,MG
cust_00014,cust_00014,20014,rio de janeiro,PR
cust_00015,cust_00015,20015,rio de janeiro,SP
cust_00016,cust_00016,20016,rio de janeiro,SP
cust_00017,cust_00017,20017,rio de janeiro,RS
cust_00018,cust_00018,20018,rio de janeiro,RJ
cust_00019,cust_00019,20019,rio de janeiro,RJ
cust_00020,cust_00020,20020,rio de janeiro,SP
cust_00021,cust_00021,20021,rio de janeiro,MG
cust_00022,cust_00022,20022,rio de janeiro,RJ
cust_00023,cust_00023,20023,rio de janeiro,SP
cust_00024,cust_00024,20024,rio de janeiro,RJ
cust_00025,cust_00025,20025,rio de janeiro,MG
cust_00026,cust_00026,20026,rio de janeiro,MG
cust_00027,cust_00027,20027,rio de janeiro,RJ
cust_00028,cust_00028,20028,rio de janeiro,SP
cust_00029,cust_00029,20029,rio de janeiro,RS
cust_00030,cust_00030,20030,rio de janeiro,SP
cust_00031,cust_00031,20031,rio de janeiro,SP
cust_00032,cust_00032,20032,rio de janeiro,RJ
cust_00033,cust_00033,20033,rio de janeiro,RJ
cust_00034,cust_00034,20034,rio de janeiro,RJ
cust_00035,cust_00035,20035,rio de janeiro,RJ
cust_00036,cust_00036,20036,rio de janeiro,SP
cust_00037,cust_00037,20037,rio de janeiro,SP
cust_00038,cust_00038,20038,rio de janeiro,SP
cust_00039,cust_00039,20039,rio de janeiro,SP
cust_00040,cust_00040,20040,rio de janeiro,PR
cust_00041,cust_00041,20041,rio de janeiro,RS
cust_00042,cust_00042,20042,rio de janeiro,MG
cust_00043,cust_00043,20043,rio de janeiro,RS
cust_00044,cust_00044,20044,rio de janeiro,RS
cust_00045,cust_00045,20045,rio de janeiro,PR
cust_00046,cust_00046,20046,rio de janeiro,RS
cust_00047,cust_00047,20047,rio de janeiro,MG
cust_00048,cust_00048,20048,rio de janeiro,MG
cust_00049,cust_00049,20049,rio de janeiro,RS
cust_00050,cust_00050,20050,rio de janeiro,RJ
cust_00051,cust_00051,20051,rio de janeiro,RS
cust_00052,cust_00052,20052,rio de janeiro,RS
cust_00053,cust_00053,20053,rio de janeiro,RJ
cust_00054,cust_00054,20054,rio de janeiro,MG
cust_00055,cust_00055,20055,rio de janeiro,SP
cust_00056,cust_00056,20056,rio de janeiro,RS
cust_00057,cust_00057,20057,rio de janeiro,RJ
cust_00058,cust_00058,20058,rio de janeiro,SP
cust_00059,cust_00059,20059,rio de janeiro,MG
cust_00060,cust_00060,20060,rio de janeiro,SP
cust_00061,cust_00061,20061,rio de janeiro,RS
cust_00062,cust_00062,20062,rio de janeiro,RJ
cust_00063,cust_00063,20063,rio de janeiro,SP
cust_00064,cust_00064,20064,rio de janeiro,RS
cust_00065,cust_00065,20065,rio de janeiro,MG
cust_00066,cust_00066,20066,rio de janeiro,PR
cust_00067,cust_00067,20067,rio de janeiro,MG
cust_00068,cust_00068,20068,rio de janeiro,MG
cust_00069,cust_00069,20069,rio de janeiro,RS
cust_00070,cust_00070,20070,rio de janeiro,PR
cust_00071,cust_00071,20071,rio de janeiro,RS
cust_00072,cust_00072,20072,rio de janeiro,RJ
cust_00073,cust_00073,20073,rio de janeiro,MG
cust_00074,cust_00074,20074,rio de janeiro,RS
cust_00075,cust_00075,20075,rio de janeiro,RJ
cust_00076,cust_00076,20076,rio de janeiro,RJ
cust_00077,cust_00077,20077,rio de janeiro,MG
cust_00078,cust_00078,20078,rio de janeiro,PR
cust_00079,cust_00079,20079,rio de janeiro,PR
cust_00080,cust_00080,20080,rio de janeiro,RS
cust_00081,cust_00081,20081,rio de janeiro,RS
cust_00082,cust_00082,20082,rio de janeiro,SP
cust_00083,cust_00083,20083,rio de janeiro,RJ
cust_00084,cust_00084,20084,rio de janeiro,SP
cust_00085,cust_00085,20085,rio de janeiro,MG
cust_00086,cust_00086,20086,rio de janeiro,RJ
cust_00087,cust_00087,20087,rio de janeiro,PR
cust_00088,cust_00088,20088,rio de janeiro,SP
cust_00089,cust_00089,20089,rio de janeiro,RJ
cust_00090,cust_00090,20090,rio de janeiro,MG
cust_00091,cust_00091,20091,rio de janeiro,SP
cust_00092,cust_00092,20092,rio de janeiro,MG
cust_00093,cust_00093,20093,rio de janeiro,PR
